--- Cartosat-2D Logs ---
[2025-01-01 00:00:00] Temperature: 31.1°C, Voltage: 3.58V, Current: 1.26A, Signal_Strength: -63dBm, Antenna_Angle: 267.32°, Roll: -0.80°, Pitch: 0.90°, Yaw: 113.58°, Packets_Sent: 1967, Status: OK
[2025-01-01 01:50:00] Temperature: 36.4°C, Voltage: 3.68V, Current: 0.70A, Signal_Strength: -51dBm, Antenna_Angle: 231.77°, Roll: -0.58°, Pitch: 0.67°, Yaw: 342.04°, Packets_Sent: 1719, Status: OK
[2025-01-01 01:51:00] Temperature: 81.0°C, Voltage: 3.51V, Current: 0.90A, Signal_Strength: -71dBm, Antenna_Angle: 176.16°, Roll: 0.51°, Pitch: -1.46°, Yaw: 35.86°, Packets_Sent: 1372, Status: Critical
[2025-01-01 01:52:00] Temperature: 15.8°C, Voltage: 3.52V, Current: 1.07A, Signal_Strength: -65dBm, Antenna_Angle: 108.99°, Roll: 1.04°, Pitch: 0.64°, Yaw: 187.18°, Packets_Sent: 1097, Status: OK
[2025-01-01 01:53:00] Temperature: 29.0°C, Voltage: 3.57V, Current: 0.95A, Signal_Strength: -60dBm, Antenna_Angle: 195.27°, Roll: 1.81°, Pitch: -1.87°, Yaw: 154.94°, Packets_Sent: 936, Status: OK
[2025-01-01 01:54:00] Temperature: 26.5°C, Voltage: 3.58V, Current: 0.81A, Signal_Strength: -61dBm, Antenna_Angle: 11.83°, Roll: 1.54°, Pitch: -1.34°, Yaw: 155.04°, Packets_Sent: 1520, Status: OK
[2025-01-01 01:55:00] Temperature: 26.7°C, Voltage: 3.76V, Current: 1.03A, Signal_Strength: -60dBm, Antenna_Angle: 199.36°, Roll: -0.10°, Pitch: 1.42°, Yaw: 182.40°, Packets_Sent: 1862, Status: OK
[2025-01-01 01:56:00] Temperature: 29.8°C, Voltage: 3.84V, Current: 1.08A, Signal_Strength: -64dBm, Antenna_Angle: 351.99°, Roll: -1.75°, Pitch: 0.36°, Yaw: 46.15°, Packets_Sent: 1556, Status: OK
[2025-01-01 01:57:00] Temperature: 39.3°C, Voltage: 3.68V, Current: 1.24A, Signal_Strength: -56dBm, Antenna_Angle: 137.00°, Roll: -0.62°, Pitch: -0.57°, Yaw: 126.45°, Packets_Sent: 1776, Status: OK
[2025-01-01 01:58:00] Temperature: 86.4°C, Voltage: 3.14V, Current: 1.05A, Signal_Strength: -106dBm, Antenna_Angle: 23.58°, Roll: -1.54°, Pitch: -1.32°, Yaw: 193.82°, Packets_Sent: 1524, Status: Critical
[2025-01-01 01:59:00] Temperature: 35.9°C, Voltage: 3.69V, Current: 1.48A, Signal_Strength: -64dBm, Antenna_Angle: 140.50°, Roll: 1.23°, Pitch: -1.60°, Yaw: 243.03°, Packets_Sent: 1100, Status: OK
[2025-01-01 02:00:00] Temperature: 30.1°C, Voltage: 3.76V, Current: 0.77A, Signal_Strength: -57dBm, Antenna_Angle: 130.80°, Roll: -1.19°, Pitch: 0.54°, Yaw: 350.67°, Packets_Sent: 1792, Status: OK
[2025-01-01 02:01:00] Temperature: 40.5°C, Voltage: 3.54V, Current: 0.69A, Signal_Strength: -66dBm, Antenna_Angle: 206.46°, Roll: 0.50°, Pitch: 1.83°, Yaw: 258.37°, Packets_Sent: 1362, Status: OK
[2025-01-01 02:02:00] Temperature: 32.8°C, Voltage: 3.56V, Current: 1.02A, Signal_Strength: -59dBm, Antenna_Angle: 153.75°, Roll: 1.18°, Pitch: 0.61°, Yaw: 108.66°, Packets_Sent: 1611, Status: OK
[2025-01-01 02:03:00] Temperature: 28.0°C, Voltage: 3.67V, Current: 0.62A, Signal_Strength: -63dBm, Antenna_Angle: 224.98°, Roll: 0.69°, Pitch: 0.19°, Yaw: 317.11°, Packets_Sent: 1828, Status: OK
[2025-01-01 02:04:00] Temperature: 30.5°C, Voltage: 3.52V, Current: 0.95A, Signal_Strength: -55dBm, Antenna_Angle: 296.60°, Roll: -0.93°, Pitch: 0.55°, Yaw: 291.21°, Packets_Sent: 1857, Status: OK
[2025-01-01 02:05:00] Temperature: 42.2°C, Voltage: 3.82V, Current: 1.20A, Signal_Strength: -73dBm, Antenna_Angle: 72.23°, Roll: -1.41°, Pitch: -1.40°, Yaw: 246.70°, Packets_Sent: 1847, Status: OK
[2025-01-01 02:06:00] Temperature: 28.1°C, Voltage: 3.58V, Current: 1.31A, Signal_Strength: -73dBm, Antenna_Angle: 73.28°, Roll: -0.93°, Pitch: -0.85°, Yaw: 57.81°, Packets_Sent: 1744, Status: OK
[2025-01-01 02:07:00] Temperature: 22.1°C, Voltage: 3.55V, Current: 0.56A, Signal_Strength: -74dBm, Antenna_Angle: 286.93°, Roll: -0.14°, Pitch: 0.24°, Yaw: 157.00°, Packets_Sent: 1535, Status: OK
[2025-01-01 02:08:00] Temperature: 16.1°C, Voltage: 3.51V, Current: 0.55A, Signal_Strength: -67dBm, Antenna_Angle: 289.27°, Roll: 0.58°, Pitch: -1.83°, Yaw: 260.08°, Packets_Sent: 1260, Status: OK
[2025-01-01 02:09:00] Temperature: 16.7°C, Voltage: 3.81V, Current: 0.75A, Signal_Strength: -66dBm, Antenna_Angle: 22.89°, Roll: 1.59°, Pitch: 0.69°, Yaw: 318.85°, Packets_Sent: 1733, Status: OK
[2025-01-01 02:10:00] Temperature: 40.2°C, Voltage: 3.79V, Current: 0.66A, Signal_Strength: -58dBm, Antenna_Angle: 180.08°, Roll: 0.09°, Pitch: 1.32°, Yaw: 341.87°, Packets_Sent: 1147, Status: OK
[2025-01-01 02:11:00] Temperature: 22.6°C, Voltage: 3.80V, Current: 0.66A, Signal_Strength: -71dBm, Antenna_Angle: 290.40°, Roll: 1.33°, Pitch: 0.95°, Yaw: 290.09°, Packets_Sent: 1574, Status: OK
[2025-01-01 02:12:00] Temperature: 43.1°C, Voltage: 3.54V, Current: 0.52A, Signal_Strength: -69dBm, Antenna_Angle: 98.83°, Roll: -0.98°, Pitch: 0.36°, Yaw: 176.52°, Packets_Sent: 1736, Status: OK
[2025-01-01 02:13:00] Temperature: 87.1°C, Voltage: 3.58V, Current: 0.87A, Signal_Strength: -55dBm, Antenna_Angle: 346.78°, Roll: -0.55°, Pitch: 0.86°, Yaw: 295.68°, Packets_Sent: 1196, Status: Critical
[2025-01-01 02:14:00] Temperature: 34.9°C, Voltage: 3.83V, Current: 1.16A, Signal_Strength: -51dBm, Antenna_Angle: 86.28°, Roll: -0.76°, Pitch: 1.83°, Yaw: 130.62°, Packets_Sent: 1687, Status: OK
[2025-01-01 02:15:00] Temperature: 18.7°C, Voltage: 3.80V, Current: 1.34A, Signal_Strength: -63dBm, Antenna_Angle: 327.51°, Roll: 1.71°, Pitch: 1.67°, Yaw: 108.32°, Packets_Sent: 1704, Status: OK
[2025-01-01 02:16:00] Temperature: 86.8°C, Voltage: 3.57V, Current: 1.35A, Signal_Strength: -70dBm, Antenna_Angle: 157.98°, Roll: 1.52°, Pitch: 1.07°, Yaw: 146.26°, Packets_Sent: 1549, Status: Critical
[2025-01-01 02:17:00] Temperature: 43.2°C, Voltage: 3.64V, Current: 0.85A, Signal_Strength: -50dBm, Antenna_Angle: 258.25°, Roll: 1.30°, Pitch: 0.79°, Yaw: 182.28°, Packets_Sent: 1105, Status: OK
[2025-01-01 02:18:00] Temperature: 33.1°C, Voltage: 3.78V, Current: 1.21A, Signal_Strength: -61dBm, Antenna_Angle: 9.85°, Roll: 0.57°, Pitch: -1.27°, Yaw: 159.62°, Packets_Sent: 1006, Status: OK
[2025-01-01 02:19:00] Temperature: 15.1°C, Voltage: 3.53V, Current: 0.74A, Signal_Strength: -58dBm, Antenna_Angle: 39.90°, Roll: 0.07°, Pitch: 1.88°, Yaw: 299.02°, Packets_Sent: 1411, Status: OK
[2025-01-01 02:20:00] Temperature: 40.4°C, Voltage: 3.72V, Current: 1.27A, Signal_Strength: -65dBm, Antenna_Angle: 172.21°, Roll: -0.96°, Pitch: 0.75°, Yaw: 297.63°, Packets_Sent: 1173, Status: OK
[2025-01-01 02:21:00] Temperature: 21.0°C, Voltage: 3.62V, Current: 0.60A, Signal_Strength: -49dBm, Antenna_Angle: 340.10°, Roll: -1.92°, Pitch: -1.91°, Yaw: 201.07°, Packets_Sent: 1359, Status: OK
[2025-01-01 02:22:00] Temperature: 21.9°C, Voltage: 3.49V, Current: 0.91A, Signal_Strength: -67dBm, Antenna_Angle: 306.65°, Roll: -0.40°, Pitch: -0.28°, Yaw: 93.65°, Packets_Sent: 1001, Status: OK
[2025-01-01 02:23:00] Temperature: 26.0°C, Voltage: 3.83V, Current: 0.53A, Signal_Strength: -53dBm, Antenna_Angle: 156.65°, Roll: 1.31°, Pitch: -0.02°, Yaw: 80.81°, Packets_Sent: 1829, Status: OK
[2025-01-01 02:24:00] Temperature: 43.4°C, Voltage: 3.78V, Current: 0.69A, Signal_Strength: -53dBm, Antenna_Angle: 137.54°, Roll: 1.43°, Pitch: 0.40°, Yaw: 358.26°, Packets_Sent: 1783, Status: OK
[2025-01-01 02:25:00] Temperature: 35.3°C, Voltage: 3.62V, Current: 0.85A, Signal_Strength: -71dBm, Antenna_Angle: 104.47°, Roll: -1.06°, Pitch: -0.20°, Yaw: 89.39°, Packets_Sent: 1436, Status: OK
[2025-01-01 02:26:00] Temperature: 34.4°C, Voltage: 3.48V, Current: 0.92A, Signal_Strength: -49dBm, Antenna_Angle: 350.77°, Roll: 0.75°, Pitch: 0.85°, Yaw: 255.04°, Packets_Sent: 1714, Status: OK
[2025-01-01 02:27:00] Temperature: 22.7°C, Voltage: 3.49V, Current: 0.46A, Signal_Strength: -65dBm, Antenna_Angle: 84.54°, Roll: 1.99°, Pitch: 1.76°, Yaw: 348.19°, Packets_Sent: 1625, Status: OK
[2025-01-01 02:28:00] Temperature: 37.4°C, Voltage: 2.84V, Current: 0.68A, Signal_Strength: -56dBm, Antenna_Angle: 108.90°, Roll: 0.69°, Pitch: -1.47°, Yaw: 321.19°, Packets_Sent: 1708, Status: Critical
[2025-01-01 02:29:00] Temperature: 30.1°C, Voltage: 3.82V, Current: 1.37A, Signal_Strength: -71dBm, Antenna_Angle: 114.23°, Roll: -0.27°, Pitch: -0.96°, Yaw: 112.77°, Packets_Sent: 1986, Status: OK
[2025-01-01 02:30:00] Temperature: 30.0°C, Voltage: 3.84V, Current: 0.71A, Signal_Strength: -64dBm, Antenna_Angle: 154.83°, Roll: 0.45°, Pitch: 1.05°, Yaw: 94.95°, Packets_Sent: 1439, Status: OK
[2025-01-01 02:31:00] Temperature: 41.8°C, Voltage: 3.58V, Current: 1.49A, Signal_Strength: -103dBm, Antenna_Angle: 54.45°, Roll: -1.79°, Pitch: -1.41°, Yaw: 82.75°, Packets_Sent: 1801, Status: Critical
[2025-01-01 02:32:00] Temperature: 29.0°C, Voltage: 3.50V, Current: 1.38A, Signal_Strength: -60dBm, Antenna_Angle: 158.94°, Roll: -0.17°, Pitch: -1.55°, Yaw: 259.11°, Packets_Sent: 1893, Status: OK
[2025-01-01 02:33:00] Temperature: 25.5°C, Voltage: 3.53V, Current: 0.71A, Signal_Strength: -50dBm, Antenna_Angle: 269.97°, Roll: 0.25°, Pitch: 0.65°, Yaw: 76.46°, Packets_Sent: 1458, Status: OK
[2025-01-01 02:34:00] Temperature: 15.1°C, Voltage: 3.76V, Current: 0.60A, Signal_Strength: -47dBm, Antenna_Angle: 88.61°, Roll: 0.71°, Pitch: 1.55°, Yaw: 9.35°, Packets_Sent: 1920, Status: OK
[2025-01-01 02:35:00] Temperature: 35.4°C, Voltage: 3.61V, Current: 1.05A, Signal_Strength: -46dBm, Antenna_Angle: 301.30°, Roll: -1.88°, Pitch: -0.16°, Yaw: 254.77°, Packets_Sent: 1214, Status: OK
[2025-01-01 02:36:00] Temperature: 33.9°C, Voltage: 3.56V, Current: 1.12A, Signal_Strength: -65dBm, Antenna_Angle: 15.78°, Roll: -0.70°, Pitch: 0.93°, Yaw: 264.35°, Packets_Sent: 1827, Status: OK
[2025-01-01 02:37:00] Temperature: 32.1°C, Voltage: 3.53V, Current: 0.45A, Signal_Strength: -56dBm, Antenna_Angle: 116.34°, Roll: 0.98°, Pitch: 0.19°, Yaw: 216.82°, Packets_Sent: 1013, Status: OK
[2025-01-01 02:38:00] Temperature: 22.7°C, Voltage: 3.55V, Current: 1.25A, Signal_Strength: -63dBm, Antenna_Angle: 7.38°, Roll: -1.35°, Pitch: 1.12°, Yaw: 102.57°, Packets_Sent: 1326, Status: OK
[2025-01-01 02:39:00] Temperature: 34.6°C, Voltage: 3.50V, Current: 0.94A, Signal_Strength: -62dBm, Antenna_Angle: 290.28°, Roll: 1.61°, Pitch: 0.41°, Yaw: 129.25°, Packets_Sent: 1535, Status: OK
[2025-01-01 02:40:00] Temperature: 26.0°C, Voltage: 3.53V, Current: 0.89A, Signal_Strength: -63dBm, Antenna_Angle: 96.65°, Roll: -1.64°, Pitch: -0.31°, Yaw: 132.56°, Packets_Sent: 1766, Status: OK
[2025-01-01 02:41:00] Temperature: 33.9°C, Voltage: 3.49V, Current: 0.96A, Signal_Strength: -46dBm, Antenna_Angle: 243.51°, Roll: 1.72°, Pitch: 0.11°, Yaw: 232.99°, Packets_Sent: 1217, Status: OK
[2025-01-01 02:42:00] Temperature: 88.5°C, Voltage: 3.48V, Current: 1.28A, Signal_Strength: -66dBm, Antenna_Angle: 354.30°, Roll: 1.37°, Pitch: 0.09°, Yaw: 106.37°, Packets_Sent: 1515, Status: Critical
[2025-01-01 02:43:00] Temperature: 78.6°C, Voltage: 2.71V, Current: 0.85A, Signal_Strength: -104dBm, Antenna_Angle: 259.30°, Roll: -0.58°, Pitch: 0.34°, Yaw: 276.71°, Packets_Sent: 1418, Status: Critical
[2025-01-01 02:44:00] Temperature: 17.5°C, Voltage: 3.80V, Current: 0.73A, Signal_Strength: -57dBm, Antenna_Angle: 163.79°, Roll: 0.50°, Pitch: -0.94°, Yaw: 348.01°, Packets_Sent: 1821, Status: OK
[2025-01-01 02:45:00] Temperature: 84.2°C, Voltage: 2.84V, Current: 1.22A, Signal_Strength: -100dBm, Antenna_Angle: 313.77°, Roll: -0.26°, Pitch: -1.93°, Yaw: 142.17°, Packets_Sent: 1117, Status: Critical
[2025-01-01 02:46:00] Temperature: 37.3°C, Voltage: 3.74V, Current: 0.73A, Signal_Strength: -51dBm, Antenna_Angle: 222.02°, Roll: 1.22°, Pitch: -1.65°, Yaw: 48.64°, Packets_Sent: 1708, Status: OK
[2025-01-01 02:47:00] Temperature: 39.5°C, Voltage: 3.73V, Current: 0.61A, Signal_Strength: -74dBm, Antenna_Angle: 173.20°, Roll: 0.60°, Pitch: -0.26°, Yaw: 225.38°, Packets_Sent: 1197, Status: OK
[2025-01-01 02:48:00] Temperature: 20.7°C, Voltage: 3.57V, Current: 0.91A, Signal_Strength: -61dBm, Antenna_Angle: 7.85°, Roll: 1.61°, Pitch: 0.96°, Yaw: 160.29°, Packets_Sent: 1240, Status: OK
[2025-01-01 02:49:00] Temperature: 15.6°C, Voltage: 3.63V, Current: 0.67A, Signal_Strength: -66dBm, Antenna_Angle: 298.59°, Roll: -1.80°, Pitch: -1.97°, Yaw: 226.94°, Packets_Sent: 1702, Status: OK
[2025-01-01 02:50:00] Temperature: 44.4°C, Voltage: 3.79V, Current: 1.21A, Signal_Strength: -57dBm, Antenna_Angle: 199.54°, Roll: -1.85°, Pitch: -0.40°, Yaw: 184.80°, Packets_Sent: 1495, Status: OK
[2025-01-01 02:51:00] Temperature: 43.1°C, Voltage: 3.81V, Current: 1.35A, Signal_Strength: -68dBm, Antenna_Angle: 21.85°, Roll: -0.31°, Pitch: -0.74°, Yaw: 22.86°, Packets_Sent: 938, Status: OK
[2025-01-01 02:52:00] Temperature: 27.5°C, Voltage: 3.64V, Current: 0.94A, Signal_Strength: -47dBm, Antenna_Angle: 124.83°, Roll: -1.92°, Pitch: -0.85°, Yaw: 69.19°, Packets_Sent: 1793, Status: OK
[2025-01-01 02:53:00] Temperature: 22.0°C, Voltage: 3.54V, Current: 1.40A, Signal_Strength: -65dBm, Antenna_Angle: 216.75°, Roll: -1.48°, Pitch: -0.83°, Yaw: 256.09°, Packets_Sent: 1859, Status: OK
[2025-01-01 02:54:00] Temperature: 40.0°C, Voltage: 3.72V, Current: 1.21A, Signal_Strength: -51dBm, Antenna_Angle: 287.90°, Roll: 0.49°, Pitch: -0.87°, Yaw: 269.72°, Packets_Sent: 1231, Status: OK
[2025-01-01 02:55:00] Temperature: 18.9°C, Voltage: 3.53V, Current: 1.07A, Signal_Strength: -100dBm, Antenna_Angle: 149.75°, Roll: -0.79°, Pitch: -1.16°, Yaw: 16.94°, Packets_Sent: 1911, Status: Critical
[2025-01-01 02:56:00] Temperature: 19.8°C, Voltage: 3.78V, Current: 1.38A, Signal_Strength: -74dBm, Antenna_Angle: 22.92°, Roll: -1.54°, Pitch: -1.09°, Yaw: 202.31°, Packets_Sent: 1781, Status: OK
[2025-01-01 02:57:00] Temperature: 44.8°C, Voltage: 3.76V, Current: 1.25A, Signal_Strength: -52dBm, Antenna_Angle: 200.52°, Roll: 1.41°, Pitch: 1.49°, Yaw: 217.54°, Packets_Sent: 1209, Status: OK
[2025-01-01 02:58:00] Temperature: 16.5°C, Voltage: 3.83V, Current: 1.28A, Signal_Strength: -46dBm, Antenna_Angle: 272.07°, Roll: 1.13°, Pitch: 0.44°, Yaw: 309.01°, Packets_Sent: 1116, Status: OK
[2025-01-01 02:59:00] Temperature: 31.9°C, Voltage: 3.65V, Current: 0.58A, Signal_Strength: -71dBm, Antenna_Angle: 73.94°, Roll: -1.37°, Pitch: -0.83°, Yaw: 158.94°, Packets_Sent: 1640, Status: OK
[2025-01-01 03:00:00] Temperature: 37.0°C, Voltage: 3.49V, Current: 1.11A, Signal_Strength: -65dBm, Antenna_Angle: 49.60°, Roll: -0.24°, Pitch: -0.34°, Yaw: 276.84°, Packets_Sent: 1313, Status: OK
[2025-01-01 03:01:00] Temperature: 39.3°C, Voltage: 3.59V, Current: 0.96A, Signal_Strength: -72dBm, Antenna_Angle: 134.07°, Roll: -0.56°, Pitch: 0.66°, Yaw: 54.58°, Packets_Sent: 1749, Status: OK
[2025-01-01 03:02:00] Temperature: 27.7°C, Voltage: 3.54V, Current: 1.28A, Signal_Strength: -63dBm, Antenna_Angle: 147.35°, Roll: 1.81°, Pitch: 0.06°, Yaw: 245.58°, Packets_Sent: 1839, Status: OK
[2025-01-01 03:03:00] Temperature: 83.9°C, Voltage: 3.76V, Current: 1.19A, Signal_Strength: -59dBm, Antenna_Angle: 25.05°, Roll: -0.74°, Pitch: 1.93°, Yaw: 59.16°, Packets_Sent: 1592, Status: Critical
[2025-01-01 03:04:00] Temperature: 34.2°C, Voltage: 3.81V, Current: 0.46A, Signal_Strength: -56dBm, Antenna_Angle: 256.81°, Roll: 1.89°, Pitch: -0.32°, Yaw: 318.87°, Packets_Sent: 1964, Status: OK
[2025-01-01 03:05:00] Temperature: 41.2°C, Voltage: 3.74V, Current: 0.75A, Signal_Strength: -65dBm, Antenna_Angle: 297.71°, Roll: 0.44°, Pitch: -1.41°, Yaw: 145.41°, Packets_Sent: 1980, Status: OK
[2025-01-01 03:06:00] Temperature: 41.6°C, Voltage: 3.70V, Current: 1.08A, Signal_Strength: -62dBm, Antenna_Angle: 124.29°, Roll: 1.10°, Pitch: 1.52°, Yaw: 30.34°, Packets_Sent: 1728, Status: OK
[2025-01-01 03:07:00] Temperature: 26.7°C, Voltage: 3.74V, Current: 1.37A, Signal_Strength: -59dBm, Antenna_Angle: 194.68°, Roll: -1.63°, Pitch: 0.21°, Yaw: 187.68°, Packets_Sent: 1337, Status: OK
[2025-01-01 03:08:00] Temperature: 19.8°C, Voltage: 3.46V, Current: 1.28A, Signal_Strength: -102dBm, Antenna_Angle: 86.88°, Roll: 0.91°, Pitch: 1.95°, Yaw: 39.76°, Packets_Sent: 1522, Status: Critical
[2025-01-01 03:09:00] Temperature: 30.2°C, Voltage: 3.50V, Current: 1.23A, Signal_Strength: -47dBm, Antenna_Angle: 161.54°, Roll: -0.19°, Pitch: 1.93°, Yaw: 289.93°, Packets_Sent: 910, Status: OK
[2025-01-01 03:10:00] Temperature: 32.0°C, Voltage: 3.81V, Current: 1.09A, Signal_Strength: -59dBm, Antenna_Angle: 214.39°, Roll: -0.80°, Pitch: 0.67°, Yaw: 293.42°, Packets_Sent: 1617, Status: OK
[2025-01-01 03:11:00] Temperature: 19.2°C, Voltage: 3.60V, Current: 1.21A, Signal_Strength: -72dBm, Antenna_Angle: 185.92°, Roll: 1.29°, Pitch: -0.55°, Yaw: 35.27°, Packets_Sent: 1294, Status: OK
[2025-01-01 03:12:00] Temperature: 39.9°C, Voltage: 3.48V, Current: 0.47A, Signal_Strength: -48dBm, Antenna_Angle: 171.45°, Roll: -1.69°, Pitch: 0.71°, Yaw: 144.99°, Packets_Sent: 1813, Status: OK
[2025-01-01 03:13:00] Temperature: 38.4°C, Voltage: 3.80V, Current: 1.04A, Signal_Strength: -56dBm, Antenna_Angle: 358.73°, Roll: 0.93°, Pitch: -0.33°, Yaw: 58.62°, Packets_Sent: 1902, Status: OK
[2025-01-01 03:14:00] Temperature: 29.5°C, Voltage: 3.63V, Current: 1.46A, Signal_Strength: -60dBm, Antenna_Angle: 190.49°, Roll: -0.18°, Pitch: -1.87°, Yaw: 56.46°, Packets_Sent: 1335, Status: OK
[2025-01-01 03:15:00] Temperature: 42.7°C, Voltage: 3.50V, Current: 1.34A, Signal_Strength: -72dBm, Antenna_Angle: 133.05°, Roll: -1.84°, Pitch: -1.39°, Yaw: 133.72°, Packets_Sent: 1493, Status: OK
[2025-01-01 03:16:00] Temperature: 24.1°C, Voltage: 3.64V, Current: 1.27A, Signal_Strength: -71dBm, Antenna_Angle: 212.26°, Roll: 1.75°, Pitch: -0.78°, Yaw: 102.05°, Packets_Sent: 999, Status: OK
[2025-01-01 03:17:00] Temperature: 37.2°C, Voltage: 3.45V, Current: 1.00A, Signal_Strength: -73dBm, Antenna_Angle: 16.09°, Roll: 0.29°, Pitch: 0.26°, Yaw: 324.09°, Packets_Sent: 1885, Status: OK
[2025-01-01 03:18:00] Temperature: 29.3°C, Voltage: 3.74V, Current: 1.07A, Signal_Strength: -52dBm, Antenna_Angle: 181.71°, Roll: 1.05°, Pitch: 0.67°, Yaw: 53.63°, Packets_Sent: 1843, Status: OK
[2025-01-01 03:19:00] Temperature: 17.7°C, Voltage: 3.70V, Current: 1.09A, Signal_Strength: -63dBm, Antenna_Angle: 324.08°, Roll: 0.16°, Pitch: 1.83°, Yaw: 320.41°, Packets_Sent: 1594, Status: OK
[2025-01-01 03:20:00] Temperature: 34.4°C, Voltage: 3.80V, Current: 1.18A, Signal_Strength: -58dBm, Antenna_Angle: 286.61°, Roll: 0.24°, Pitch: -1.50°, Yaw: 201.36°, Packets_Sent: 1532, Status: OK
[2025-01-01 03:21:00] Temperature: 33.6°C, Voltage: 3.68V, Current: 0.46A, Signal_Strength: -58dBm, Antenna_Angle: 68.18°, Roll: 0.01°, Pitch: -1.93°, Yaw: 236.97°, Packets_Sent: 1874, Status: OK
[2025-01-01 03:22:00] Temperature: 43.9°C, Voltage: 3.56V, Current: 0.63A, Signal_Strength: -50dBm, Antenna_Angle: 302.00°, Roll: -1.66°, Pitch: 0.13°, Yaw: 115.35°, Packets_Sent: 1809, Status: OK
[2025-01-01 03:23:00] Temperature: 29.7°C, Voltage: 3.82V, Current: 0.77A, Signal_Strength: -70dBm, Antenna_Angle: 8.66°, Roll: -0.73°, Pitch: -0.97°, Yaw: 41.27°, Packets_Sent: 1981, Status: OK
[2025-01-01 03:24:00] Temperature: 20.0°C, Voltage: 3.51V, Current: 0.68A, Signal_Strength: -72dBm, Antenna_Angle: 110.44°, Roll: 0.71°, Pitch: -1.76°, Yaw: 345.99°, Packets_Sent: 1734, Status: OK
[2025-01-01 03:25:00] Temperature: 36.4°C, Voltage: 3.57V, Current: 0.51A, Signal_Strength: -71dBm, Antenna_Angle: 321.48°, Roll: -0.50°, Pitch: 1.31°, Yaw: 43.55°, Packets_Sent: 1428, Status: OK
[2025-01-01 03:26:00] Temperature: 79.3°C, Voltage: 3.68V, Current: 0.94A, Signal_Strength: -52dBm, Antenna_Angle: 138.61°, Roll: -0.92°, Pitch: -0.73°, Yaw: 199.12°, Packets_Sent: 1135, Status: Warning
[2025-01-01 03:27:00] Temperature: 22.0°C, Voltage: 3.80V, Current: 0.70A, Signal_Strength: -46dBm, Antenna_Angle: 243.03°, Roll: 1.05°, Pitch: 0.61°, Yaw: 45.20°, Packets_Sent: 1404, Status: OK
[2025-01-01 03:28:00] Temperature: 28.4°C, Voltage: 3.79V, Current: 0.95A, Signal_Strength: -52dBm, Antenna_Angle: 51.25°, Roll: 1.13°, Pitch: 0.15°, Yaw: 152.55°, Packets_Sent: 1244, Status: OK
[2025-01-01 03:29:00] Temperature: 28.6°C, Voltage: 3.45V, Current: 0.91A, Signal_Strength: -50dBm, Antenna_Angle: 104.13°, Roll: -2.00°, Pitch: 1.73°, Yaw: 173.58°, Packets_Sent: 1242, Status: OK
[2025-01-01 03:30:00] Temperature: 79.1°C, Voltage: 3.60V, Current: 0.79A, Signal_Strength: -56dBm, Antenna_Angle: 210.65°, Roll: -0.87°, Pitch: -1.35°, Yaw: 192.27°, Packets_Sent: 1945, Status: Warning
[2025-01-01 03:31:00] Temperature: 18.7°C, Voltage: 3.51V, Current: 1.01A, Signal_Strength: -67dBm, Antenna_Angle: 155.50°, Roll: 1.83°, Pitch: -0.73°, Yaw: 245.55°, Packets_Sent: 1933, Status: OK
[2025-01-01 03:32:00] Temperature: 22.8°C, Voltage: 3.75V, Current: 0.90A, Signal_Strength: -68dBm, Antenna_Angle: 353.88°, Roll: -1.16°, Pitch: 1.84°, Yaw: 118.24°, Packets_Sent: 1599, Status: OK
[2025-01-01 03:33:00] Temperature: 19.0°C, Voltage: 3.82V, Current: 1.07A, Signal_Strength: -75dBm, Antenna_Angle: 3.45°, Roll: -0.35°, Pitch: 1.58°, Yaw: 253.18°, Packets_Sent: 1255, Status: OK
[2025-01-01 03:34:00] Temperature: 31.1°C, Voltage: 3.76V, Current: 1.11A, Signal_Strength: -73dBm, Antenna_Angle: 11.14°, Roll: 0.69°, Pitch: -0.59°, Yaw: 292.59°, Packets_Sent: 1811, Status: OK
[2025-01-01 03:35:00] Temperature: 25.7°C, Voltage: 3.52V, Current: 1.24A, Signal_Strength: -54dBm, Antenna_Angle: 3.04°, Roll: -0.52°, Pitch: -1.23°, Yaw: 3.37°, Packets_Sent: 1847, Status: OK
[2025-01-01 03:36:00] Temperature: 37.8°C, Voltage: 3.72V, Current: 1.18A, Signal_Strength: -69dBm, Antenna_Angle: 293.85°, Roll: 1.23°, Pitch: -1.12°, Yaw: 352.83°, Packets_Sent: 1520, Status: OK
[2025-01-01 03:37:00] Temperature: 16.1°C, Voltage: 3.65V, Current: 1.17A, Signal_Strength: -57dBm, Antenna_Angle: 2.57°, Roll: -1.56°, Pitch: -0.89°, Yaw: 180.11°, Packets_Sent: 1711, Status: OK
[2025-01-01 03:38:00] Temperature: 20.8°C, Voltage: 3.75V, Current: 1.14A, Signal_Strength: -57dBm, Antenna_Angle: 63.19°, Roll: 0.98°, Pitch: -1.49°, Yaw: 336.07°, Packets_Sent: 1162, Status: OK
[2025-01-01 03:39:00] Temperature: 87.8°C, Voltage: 3.17V, Current: 0.70A, Signal_Strength: -109dBm, Antenna_Angle: 8.32°, Roll: 0.46°, Pitch: 0.72°, Yaw: 317.91°, Packets_Sent: 1991, Status: Critical
