--- Cartosat-2F Logs ---
[2025-01-01 00:00:00] Temperature: 23.5°C, Voltage: 3.47V, Current: 0.90A, Signal_Strength: -55dBm, Antenna_Angle: 299.51°, Roll: -0.12°, Pitch: -1.57°, Yaw: 51.04°, Packets_Sent: 1715, Status: OK
[2025-01-01 01:50:00] Temperature: 24.3°C, Voltage: 3.65V, Current: 1.02A, Signal_Strength: -54dBm, Antenna_Angle: 312.01°, Roll: -0.64°, Pitch: -0.96°, Yaw: 112.88°, Packets_Sent: 1570, Status: OK
[2025-01-01 01:51:00] Temperature: 18.3°C, Voltage: 3.70V, Current: 1.19A, Signal_Strength: -55dBm, Antenna_Angle: 21.09°, Roll: 1.98°, Pitch: -1.01°, Yaw: 334.34°, Packets_Sent: 1878, Status: OK
[2025-01-01 01:52:00] Temperature: 16.3°C, Voltage: 3.50V, Current: 0.92A, Signal_Strength: -62dBm, Antenna_Angle: 262.14°, Roll: 1.33°, Pitch: 0.15°, Yaw: 277.66°, Packets_Sent: 1365, Status: OK
[2025-01-01 01:53:00] Temperature: 21.2°C, Voltage: 3.58V, Current: 0.85A, Signal_Strength: -54dBm, Antenna_Angle: 45.27°, Roll: 0.32°, Pitch: -0.69°, Yaw: 215.81°, Packets_Sent: 1954, Status: OK
[2025-01-01 01:54:00] Temperature: 15.2°C, Voltage: 3.46V, Current: 1.12A, Signal_Strength: -58dBm, Antenna_Angle: 290.51°, Roll: 0.12°, Pitch: 0.32°, Yaw: 64.41°, Packets_Sent: 1511, Status: OK
[2025-01-01 01:55:00] Temperature: 26.3°C, Voltage: 3.60V, Current: 1.35A, Signal_Strength: -51dBm, Antenna_Angle: 266.59°, Roll: -0.27°, Pitch: -0.36°, Yaw: 117.67°, Packets_Sent: 1790, Status: OK
[2025-01-01 01:56:00] Temperature: 19.9°C, Voltage: 3.78V, Current: 1.42A, Signal_Strength: -66dBm, Antenna_Angle: 311.46°, Roll: 1.03°, Pitch: -0.64°, Yaw: 321.28°, Packets_Sent: 1903, Status: OK
[2025-01-01 01:57:00] Temperature: 38.5°C, Voltage: 3.57V, Current: 0.75A, Signal_Strength: -68dBm, Antenna_Angle: 281.25°, Roll: -0.30°, Pitch: -1.03°, Yaw: 281.60°, Packets_Sent: 959, Status: OK
[2025-01-01 01:58:00] Temperature: 27.1°C, Voltage: 3.60V, Current: 0.54A, Signal_Strength: -56dBm, Antenna_Angle: 277.35°, Roll: 0.80°, Pitch: -1.78°, Yaw: 142.73°, Packets_Sent: 1589, Status: OK
[2025-01-01 01:59:00] Temperature: 33.2°C, Voltage: 3.54V, Current: 0.46A, Signal_Strength: -54dBm, Antenna_Angle: 243.09°, Roll: 1.42°, Pitch: -1.53°, Yaw: 54.77°, Packets_Sent: 1228, Status: OK
[2025-01-01 02:00:00] Temperature: 37.9°C, Voltage: 3.63V, Current: 1.46A, Signal_Strength: -61dBm, Antenna_Angle: 236.39°, Roll: -0.40°, Pitch: 1.06°, Yaw: 220.77°, Packets_Sent: 1536, Status: OK
[2025-01-01 02:01:00] Temperature: 18.1°C, Voltage: 3.52V, Current: 1.18A, Signal_Strength: -72dBm, Antenna_Angle: 134.10°, Roll: 1.26°, Pitch: -1.00°, Yaw: 286.87°, Packets_Sent: 1930, Status: OK
[2025-01-01 02:02:00] Temperature: 44.8°C, Voltage: 3.45V, Current: 1.39A, Signal_Strength: -59dBm, Antenna_Angle: 39.00°, Roll: 1.93°, Pitch: -0.08°, Yaw: 178.03°, Packets_Sent: 1957, Status: OK
[2025-01-01 02:03:00] Temperature: 20.9°C, Voltage: 3.48V, Current: 1.04A, Signal_Strength: -49dBm, Antenna_Angle: 129.01°, Roll: 1.72°, Pitch: -0.91°, Yaw: 48.57°, Packets_Sent: 927, Status: OK
[2025-01-01 02:04:00] Temperature: 38.8°C, Voltage: 3.79V, Current: 1.10A, Signal_Strength: -62dBm, Antenna_Angle: 53.02°, Roll: 1.68°, Pitch: -1.79°, Yaw: 190.35°, Packets_Sent: 1127, Status: OK
[2025-01-01 02:05:00] Temperature: 37.8°C, Voltage: 3.64V, Current: 0.65A, Signal_Strength: -65dBm, Antenna_Angle: 211.94°, Roll: 1.47°, Pitch: 0.13°, Yaw: 166.03°, Packets_Sent: 1690, Status: OK
[2025-01-01 02:06:00] Temperature: 39.6°C, Voltage: 3.52V, Current: 1.48A, Signal_Strength: -47dBm, Antenna_Angle: 62.94°, Roll: -1.51°, Pitch: 0.23°, Yaw: 270.42°, Packets_Sent: 1161, Status: OK
[2025-01-01 02:07:00] Temperature: 41.4°C, Voltage: 3.59V, Current: 1.23A, Signal_Strength: -46dBm, Antenna_Angle: 16.97°, Roll: -0.98°, Pitch: 0.61°, Yaw: 102.67°, Packets_Sent: 1779, Status: OK
[2025-01-01 02:08:00] Temperature: 37.2°C, Voltage: 3.80V, Current: 1.33A, Signal_Strength: -73dBm, Antenna_Angle: 50.38°, Roll: -1.38°, Pitch: 0.85°, Yaw: 161.08°, Packets_Sent: 1296, Status: OK
[2025-01-01 02:09:00] Temperature: 33.4°C, Voltage: 3.74V, Current: 1.47A, Signal_Strength: -55dBm, Antenna_Angle: 223.48°, Roll: -0.20°, Pitch: 1.60°, Yaw: 143.33°, Packets_Sent: 1073, Status: OK
[2025-01-01 02:10:00] Temperature: 34.9°C, Voltage: 3.71V, Current: 1.15A, Signal_Strength: -70dBm, Antenna_Angle: 61.10°, Roll: 1.47°, Pitch: 0.22°, Yaw: 136.62°, Packets_Sent: 1292, Status: OK
[2025-01-01 02:11:00] Temperature: 17.2°C, Voltage: 3.64V, Current: 1.19A, Signal_Strength: -96dBm, Antenna_Angle: 21.88°, Roll: 0.43°, Pitch: -0.45°, Yaw: 88.90°, Packets_Sent: 1037, Status: Warning
[2025-01-01 02:12:00] Temperature: 20.8°C, Voltage: 3.60V, Current: 1.49A, Signal_Strength: -46dBm, Antenna_Angle: 117.00°, Roll: 1.32°, Pitch: -0.93°, Yaw: 321.76°, Packets_Sent: 1930, Status: OK
[2025-01-01 02:13:00] Temperature: 21.9°C, Voltage: 3.57V, Current: 0.44A, Signal_Strength: -47dBm, Antenna_Angle: 251.99°, Roll: 0.06°, Pitch: 0.86°, Yaw: 142.68°, Packets_Sent: 1112, Status: OK
[2025-01-01 02:14:00] Temperature: 23.6°C, Voltage: 3.81V, Current: 1.33A, Signal_Strength: -65dBm, Antenna_Angle: 62.01°, Roll: -0.98°, Pitch: 0.68°, Yaw: 129.40°, Packets_Sent: 1420, Status: OK
[2025-01-01 02:15:00] Temperature: 16.6°C, Voltage: 3.66V, Current: 1.30A, Signal_Strength: -49dBm, Antenna_Angle: 247.83°, Roll: 0.41°, Pitch: -1.13°, Yaw: 253.64°, Packets_Sent: 1873, Status: OK
[2025-01-01 02:16:00] Temperature: 15.5°C, Voltage: 3.72V, Current: 1.23A, Signal_Strength: -51dBm, Antenna_Angle: 241.02°, Roll: 0.57°, Pitch: -1.51°, Yaw: 193.18°, Packets_Sent: 1393, Status: OK
[2025-01-01 02:17:00] Temperature: 30.4°C, Voltage: 3.55V, Current: 0.99A, Signal_Strength: -63dBm, Antenna_Angle: 223.95°, Roll: 1.95°, Pitch: 0.11°, Yaw: 279.50°, Packets_Sent: 1771, Status: OK
[2025-01-01 02:18:00] Temperature: 37.9°C, Voltage: 3.69V, Current: 0.74A, Signal_Strength: -45dBm, Antenna_Angle: 173.24°, Roll: 1.35°, Pitch: -1.58°, Yaw: 302.30°, Packets_Sent: 1172, Status: OK
[2025-01-01 02:19:00] Temperature: 22.6°C, Voltage: 3.54V, Current: 1.29A, Signal_Strength: -49dBm, Antenna_Angle: 355.13°, Roll: 0.84°, Pitch: -1.30°, Yaw: 47.59°, Packets_Sent: 1680, Status: OK
[2025-01-01 02:20:00] Temperature: 31.7°C, Voltage: 3.54V, Current: 0.89A, Signal_Strength: -59dBm, Antenna_Angle: 85.77°, Roll: -1.40°, Pitch: -1.55°, Yaw: 232.58°, Packets_Sent: 1111, Status: OK
[2025-01-01 02:21:00] Temperature: 15.9°C, Voltage: 3.82V, Current: 0.57A, Signal_Strength: -49dBm, Antenna_Angle: 75.63°, Roll: 0.07°, Pitch: 0.06°, Yaw: 17.77°, Packets_Sent: 1253, Status: OK
[2025-01-01 02:22:00] Temperature: 42.7°C, Voltage: 3.52V, Current: 0.53A, Signal_Strength: -51dBm, Antenna_Angle: 5.36°, Roll: -1.30°, Pitch: -1.99°, Yaw: 22.69°, Packets_Sent: 1371, Status: OK
[2025-01-01 02:23:00] Temperature: 28.8°C, Voltage: 3.60V, Current: 0.45A, Signal_Strength: -74dBm, Antenna_Angle: 302.85°, Roll: 0.86°, Pitch: -1.51°, Yaw: 197.18°, Packets_Sent: 1884, Status: OK
[2025-01-01 02:24:00] Temperature: 20.7°C, Voltage: 3.60V, Current: 0.50A, Signal_Strength: -73dBm, Antenna_Angle: 260.81°, Roll: 1.71°, Pitch: 0.60°, Yaw: 230.81°, Packets_Sent: 1492, Status: OK
[2025-01-01 02:25:00] Temperature: 30.3°C, Voltage: 3.47V, Current: 0.93A, Signal_Strength: -62dBm, Antenna_Angle: 270.38°, Roll: -1.22°, Pitch: -0.76°, Yaw: 311.88°, Packets_Sent: 1183, Status: OK
[2025-01-01 02:26:00] Temperature: 40.0°C, Voltage: 3.77V, Current: 0.44A, Signal_Strength: -93dBm, Antenna_Angle: 278.31°, Roll: -0.17°, Pitch: 1.01°, Yaw: 329.75°, Packets_Sent: 934, Status: Warning
[2025-01-01 02:27:00] Temperature: 43.6°C, Voltage: 3.69V, Current: 0.88A, Signal_Strength: -73dBm, Antenna_Angle: 7.04°, Roll: -0.26°, Pitch: 1.89°, Yaw: 240.63°, Packets_Sent: 994, Status: OK
[2025-01-01 02:28:00] Temperature: 17.8°C, Voltage: 3.46V, Current: 1.11A, Signal_Strength: -48dBm, Antenna_Angle: 107.67°, Roll: 0.84°, Pitch: 0.82°, Yaw: 321.04°, Packets_Sent: 1077, Status: OK
[2025-01-01 02:29:00] Temperature: 44.6°C, Voltage: 2.94V, Current: 0.89A, Signal_Strength: -65dBm, Antenna_Angle: 143.57°, Roll: 1.09°, Pitch: -0.12°, Yaw: 188.20°, Packets_Sent: 1450, Status: Critical
[2025-01-01 02:30:00] Temperature: 31.4°C, Voltage: 3.57V, Current: 0.55A, Signal_Strength: -59dBm, Antenna_Angle: 204.28°, Roll: -1.36°, Pitch: 0.43°, Yaw: 282.56°, Packets_Sent: 1729, Status: OK
[2025-01-01 02:31:00] Temperature: 31.2°C, Voltage: 3.67V, Current: 0.97A, Signal_Strength: -56dBm, Antenna_Angle: 42.59°, Roll: 1.98°, Pitch: 0.64°, Yaw: 174.70°, Packets_Sent: 1983, Status: OK
[2025-01-01 02:32:00] Temperature: 25.9°C, Voltage: 3.60V, Current: 1.05A, Signal_Strength: -70dBm, Antenna_Angle: 163.27°, Roll: 0.28°, Pitch: 1.59°, Yaw: 8.41°, Packets_Sent: 1058, Status: OK
[2025-01-01 02:33:00] Temperature: 18.8°C, Voltage: 3.83V, Current: 0.55A, Signal_Strength: -49dBm, Antenna_Angle: 275.03°, Roll: -0.18°, Pitch: 1.85°, Yaw: 187.91°, Packets_Sent: 1634, Status: OK
[2025-01-01 02:34:00] Temperature: 41.2°C, Voltage: 3.60V, Current: 0.73A, Signal_Strength: -73dBm, Antenna_Angle: 307.71°, Roll: 1.74°, Pitch: 1.76°, Yaw: 282.22°, Packets_Sent: 1654, Status: OK
[2025-01-01 02:35:00] Temperature: 30.3°C, Voltage: 3.84V, Current: 0.53A, Signal_Strength: -60dBm, Antenna_Angle: 104.68°, Roll: 0.68°, Pitch: -1.45°, Yaw: 106.84°, Packets_Sent: 1084, Status: OK
[2025-01-01 02:36:00] Temperature: 38.5°C, Voltage: 3.49V, Current: 1.14A, Signal_Strength: -50dBm, Antenna_Angle: 198.51°, Roll: -1.63°, Pitch: 0.85°, Yaw: 145.01°, Packets_Sent: 1474, Status: OK
[2025-01-01 02:37:00] Temperature: 23.0°C, Voltage: 3.52V, Current: 1.06A, Signal_Strength: -61dBm, Antenna_Angle: 184.40°, Roll: -0.20°, Pitch: 1.24°, Yaw: 317.38°, Packets_Sent: 1052, Status: OK
[2025-01-01 02:38:00] Temperature: 90.6°C, Voltage: 2.68V, Current: 0.69A, Signal_Strength: -97dBm, Antenna_Angle: 296.38°, Roll: 0.72°, Pitch: -0.51°, Yaw: 300.03°, Packets_Sent: 1609, Status: Critical
[2025-01-01 02:39:00] Temperature: 19.2°C, Voltage: 3.79V, Current: 0.80A, Signal_Strength: -50dBm, Antenna_Angle: 255.70°, Roll: 1.75°, Pitch: -1.80°, Yaw: 227.56°, Packets_Sent: 936, Status: OK
[2025-01-01 02:40:00] Temperature: 36.1°C, Voltage: 3.59V, Current: 0.70A, Signal_Strength: -73dBm, Antenna_Angle: 61.80°, Roll: -0.89°, Pitch: 1.46°, Yaw: 357.07°, Packets_Sent: 1178, Status: OK
[2025-01-01 02:41:00] Temperature: 42.6°C, Voltage: 3.69V, Current: 1.38A, Signal_Strength: -48dBm, Antenna_Angle: 100.80°, Roll: -1.64°, Pitch: 0.08°, Yaw: 340.31°, Packets_Sent: 1019, Status: OK
[2025-01-01 02:42:00] Temperature: 20.5°C, Voltage: 3.73V, Current: 1.19A, Signal_Strength: -68dBm, Antenna_Angle: 49.05°, Roll: -1.71°, Pitch: 1.77°, Yaw: 195.20°, Packets_Sent: 1759, Status: OK
[2025-01-01 02:43:00] Temperature: 38.2°C, Voltage: 3.45V, Current: 0.47A, Signal_Strength: -51dBm, Antenna_Angle: 339.46°, Roll: -1.63°, Pitch: 0.30°, Yaw: 350.89°, Packets_Sent: 1020, Status: OK
[2025-01-01 02:44:00] Temperature: 40.3°C, Voltage: 3.80V, Current: 0.52A, Signal_Strength: -51dBm, Antenna_Angle: 31.02°, Roll: -0.29°, Pitch: 0.99°, Yaw: 15.70°, Packets_Sent: 1280, Status: OK
[2025-01-01 02:45:00] Temperature: 43.4°C, Voltage: 3.79V, Current: 0.88A, Signal_Strength: -50dBm, Antenna_Angle: 49.02°, Roll: -1.87°, Pitch: -1.72°, Yaw: 154.86°, Packets_Sent: 989, Status: OK
[2025-01-01 02:46:00] Temperature: 15.4°C, Voltage: 3.83V, Current: 0.68A, Signal_Strength: -54dBm, Antenna_Angle: 355.66°, Roll: 1.51°, Pitch: 0.30°, Yaw: 112.41°, Packets_Sent: 1077, Status: OK
[2025-01-01 02:47:00] Temperature: 36.0°C, Voltage: 3.54V, Current: 1.11A, Signal_Strength: -51dBm, Antenna_Angle: 187.88°, Roll: 0.37°, Pitch: 0.29°, Yaw: 311.46°, Packets_Sent: 1746, Status: OK
[2025-01-01 02:48:00] Temperature: 18.9°C, Voltage: 3.55V, Current: 1.45A, Signal_Strength: -52dBm, Antenna_Angle: 148.83°, Roll: 1.84°, Pitch: 1.17°, Yaw: 185.28°, Packets_Sent: 1080, Status: OK
[2025-01-01 02:49:00] Temperature: 29.2°C, Voltage: 3.77V, Current: 1.29A, Signal_Strength: -73dBm, Antenna_Angle: 324.60°, Roll: -1.86°, Pitch: -0.67°, Yaw: 55.34°, Packets_Sent: 1044, Status: OK
[2025-01-01 02:50:00] Temperature: 34.9°C, Voltage: 3.61V, Current: 1.15A, Signal_Strength: -73dBm, Antenna_Angle: 321.26°, Roll: 1.88°, Pitch: 1.13°, Yaw: 262.21°, Packets_Sent: 1336, Status: OK
[2025-01-01 02:51:00] Temperature: 30.7°C, Voltage: 3.80V, Current: 0.67A, Signal_Strength: -49dBm, Antenna_Angle: 54.50°, Roll: -1.76°, Pitch: 1.45°, Yaw: 352.44°, Packets_Sent: 1985, Status: OK
[2025-01-01 02:52:00] Temperature: 37.4°C, Voltage: 3.63V, Current: 1.05A, Signal_Strength: -68dBm, Antenna_Angle: 258.38°, Roll: 1.56°, Pitch: 1.72°, Yaw: 181.21°, Packets_Sent: 1414, Status: OK
[2025-01-01 02:53:00] Temperature: 44.0°C, Voltage: 3.58V, Current: 0.65A, Signal_Strength: -47dBm, Antenna_Angle: 287.20°, Roll: -0.38°, Pitch: -1.45°, Yaw: 17.08°, Packets_Sent: 1510, Status: OK
[2025-01-01 02:54:00] Temperature: 28.4°C, Voltage: 3.63V, Current: 0.70A, Signal_Strength: -73dBm, Antenna_Angle: 129.63°, Roll: -0.59°, Pitch: -0.54°, Yaw: 142.94°, Packets_Sent: 1587, Status: OK
[2025-01-01 02:55:00] Temperature: 20.5°C, Voltage: 3.78V, Current: 1.05A, Signal_Strength: -59dBm, Antenna_Angle: 119.99°, Roll: -1.57°, Pitch: -0.03°, Yaw: 251.93°, Packets_Sent: 1564, Status: OK
[2025-01-01 02:56:00] Temperature: 35.0°C, Voltage: 3.69V, Current: 1.38A, Signal_Strength: -72dBm, Antenna_Angle: 30.00°, Roll: -0.15°, Pitch: 0.03°, Yaw: 139.64°, Packets_Sent: 1105, Status: OK
[2025-01-01 02:57:00] Temperature: 35.6°C, Voltage: 3.51V, Current: 1.29A, Signal_Strength: -93dBm, Antenna_Angle: 160.26°, Roll: -1.78°, Pitch: 0.81°, Yaw: 60.55°, Packets_Sent: 1696, Status: Warning
[2025-01-01 02:58:00] Temperature: 24.5°C, Voltage: 3.82V, Current: 0.69A, Signal_Strength: -47dBm, Antenna_Angle: 245.72°, Roll: 1.57°, Pitch: 0.67°, Yaw: 65.60°, Packets_Sent: 901, Status: OK
[2025-01-01 02:59:00] Temperature: 38.5°C, Voltage: 3.81V, Current: 0.79A, Signal_Strength: -46dBm, Antenna_Angle: 3.81°, Roll: 1.04°, Pitch: 0.80°, Yaw: 18.28°, Packets_Sent: 1755, Status: OK
[2025-01-01 03:00:00] Temperature: 25.1°C, Voltage: 3.80V, Current: 1.42A, Signal_Strength: -48dBm, Antenna_Angle: 124.93°, Roll: -0.24°, Pitch: 1.56°, Yaw: 122.32°, Packets_Sent: 1431, Status: OK
[2025-01-01 03:01:00] Temperature: 16.3°C, Voltage: 3.78V, Current: 0.51A, Signal_Strength: -62dBm, Antenna_Angle: 68.85°, Roll: -0.15°, Pitch: 0.20°, Yaw: 335.06°, Packets_Sent: 1164, Status: OK
[2025-01-01 03:02:00] Temperature: 32.7°C, Voltage: 3.60V, Current: 0.43A, Signal_Strength: -68dBm, Antenna_Angle: 270.35°, Roll: -1.81°, Pitch: 1.93°, Yaw: 103.62°, Packets_Sent: 1034, Status: OK
[2025-01-01 03:03:00] Temperature: 21.5°C, Voltage: 3.57V, Current: 1.19A, Signal_Strength: -69dBm, Antenna_Angle: 323.01°, Roll: -1.99°, Pitch: -0.61°, Yaw: 337.56°, Packets_Sent: 1142, Status: OK
[2025-01-01 03:04:00] Temperature: 27.9°C, Voltage: 3.65V, Current: 1.17A, Signal_Strength: -52dBm, Antenna_Angle: 23.19°, Roll: 0.51°, Pitch: 1.64°, Yaw: 343.94°, Packets_Sent: 1514, Status: OK
[2025-01-01 03:05:00] Temperature: 76.4°C, Voltage: 2.64V, Current: 1.38A, Signal_Strength: -96dBm, Antenna_Angle: 129.30°, Roll: 1.64°, Pitch: 0.74°, Yaw: 122.56°, Packets_Sent: 1398, Status: Critical
[2025-01-01 03:06:00] Temperature: 32.1°C, Voltage: 3.68V, Current: 1.11A, Signal_Strength: -63dBm, Antenna_Angle: 154.25°, Roll: -1.71°, Pitch: -0.45°, Yaw: 158.12°, Packets_Sent: 1020, Status: OK
[2025-01-01 03:07:00] Temperature: 38.3°C, Voltage: 3.81V, Current: 1.50A, Signal_Strength: -60dBm, Antenna_Angle: 249.97°, Roll: 0.87°, Pitch: 1.83°, Yaw: 238.39°, Packets_Sent: 1156, Status: OK
[2025-01-01 03:08:00] Temperature: 23.7°C, Voltage: 3.68V, Current: 1.46A, Signal_Strength: -64dBm, Antenna_Angle: 81.01°, Roll: -0.43°, Pitch: -0.17°, Yaw: 273.15°, Packets_Sent: 905, Status: OK
[2025-01-01 03:09:00] Temperature: 25.0°C, Voltage: 3.45V, Current: 0.58A, Signal_Strength: -65dBm, Antenna_Angle: 3.98°, Roll: -1.15°, Pitch: -0.48°, Yaw: 91.83°, Packets_Sent: 1910, Status: OK
[2025-01-01 03:10:00] Temperature: 20.5°C, Voltage: 3.49V, Current: 0.99A, Signal_Strength: -69dBm, Antenna_Angle: 22.01°, Roll: 0.65°, Pitch: 0.29°, Yaw: 280.47°, Packets_Sent: 1282, Status: OK
[2025-01-01 03:11:00] Temperature: 21.6°C, Voltage: 2.70V, Current: 0.50A, Signal_Strength: -75dBm, Antenna_Angle: 283.48°, Roll: 0.57°, Pitch: 1.57°, Yaw: 302.01°, Packets_Sent: 981, Status: Critical
[2025-01-01 03:12:00] Temperature: 37.9°C, Voltage: 3.67V, Current: 1.40A, Signal_Strength: -60dBm, Antenna_Angle: 87.47°, Roll: 1.55°, Pitch: -1.53°, Yaw: 138.25°, Packets_Sent: 1210, Status: OK
[2025-01-01 03:13:00] Temperature: 38.8°C, Voltage: 3.70V, Current: 0.41A, Signal_Strength: -48dBm, Antenna_Angle: 120.42°, Roll: -0.66°, Pitch: 1.51°, Yaw: 202.52°, Packets_Sent: 1834, Status: OK
[2025-01-01 03:14:00] Temperature: 31.3°C, Voltage: 3.58V, Current: 1.02A, Signal_Strength: -69dBm, Antenna_Angle: 61.56°, Roll: -0.75°, Pitch: -0.42°, Yaw: 83.14°, Packets_Sent: 1767, Status: OK
[2025-01-01 03:15:00] Temperature: 27.6°C, Voltage: 3.77V, Current: 0.60A, Signal_Strength: -75dBm, Antenna_Angle: 249.91°, Roll: -0.52°, Pitch: 0.08°, Yaw: 27.98°, Packets_Sent: 1837, Status: OK
[2025-01-01 03:16:00] Temperature: 28.9°C, Voltage: 3.46V, Current: 1.06A, Signal_Strength: -75dBm, Antenna_Angle: 160.17°, Roll: 1.20°, Pitch: 1.37°, Yaw: 81.23°, Packets_Sent: 1086, Status: OK
[2025-01-01 03:17:00] Temperature: 15.2°C, Voltage: 3.53V, Current: 1.17A, Signal_Strength: -70dBm, Antenna_Angle: 232.93°, Roll: -1.73°, Pitch: 1.63°, Yaw: 188.79°, Packets_Sent: 1250, Status: OK
[2025-01-01 03:18:00] Temperature: 32.2°C, Voltage: 3.65V, Current: 0.40A, Signal_Strength: -64dBm, Antenna_Angle: 34.01°, Roll: 1.09°, Pitch: 0.01°, Yaw: 76.11°, Packets_Sent: 1117, Status: OK
[2025-01-01 03:19:00] Temperature: 31.5°C, Voltage: 3.48V, Current: 1.05A, Signal_Strength: -66dBm, Antenna_Angle: 269.86°, Roll: -1.33°, Pitch: 0.76°, Yaw: 137.42°, Packets_Sent: 1863, Status: OK
[2025-01-01 03:20:00] Temperature: 36.3°C, Voltage: 3.75V, Current: 1.25A, Signal_Strength: -47dBm, Antenna_Angle: 172.35°, Roll: -1.73°, Pitch: 1.92°, Yaw: 219.11°, Packets_Sent: 1342, Status: OK
[2025-01-01 03:21:00] Temperature: 42.3°C, Voltage: 3.64V, Current: 0.59A, Signal_Strength: -60dBm, Antenna_Angle: 119.41°, Roll: 1.46°, Pitch: 0.63°, Yaw: 358.34°, Packets_Sent: 1536, Status: OK
[2025-01-01 03:22:00] Temperature: 36.7°C, Voltage: 3.64V, Current: 0.40A, Signal_Strength: -70dBm, Antenna_Angle: 76.95°, Roll: 0.15°, Pitch: 0.50°, Yaw: 301.92°, Packets_Sent: 1503, Status: OK
[2025-01-01 03:23:00] Temperature: 34.9°C, Voltage: 3.51V, Current: 0.68A, Signal_Strength: -67dBm, Antenna_Angle: 175.41°, Roll: 0.62°, Pitch: 0.92°, Yaw: 332.83°, Packets_Sent: 1470, Status: OK
[2025-01-01 03:24:00] Temperature: 37.4°C, Voltage: 3.48V, Current: 1.47A, Signal_Strength: -46dBm, Antenna_Angle: 207.81°, Roll: 0.80°, Pitch: 0.69°, Yaw: 264.85°, Packets_Sent: 1301, Status: OK
[2025-01-01 03:25:00] Temperature: 18.8°C, Voltage: 3.70V, Current: 1.48A, Signal_Strength: -67dBm, Antenna_Angle: 257.17°, Roll: -1.12°, Pitch: -1.48°, Yaw: 258.09°, Packets_Sent: 1205, Status: OK
[2025-01-01 03:26:00] Temperature: 40.5°C, Voltage: 3.50V, Current: 1.36A, Signal_Strength: -68dBm, Antenna_Angle: 258.42°, Roll: 1.59°, Pitch: 1.04°, Yaw: 181.20°, Packets_Sent: 984, Status: OK
[2025-01-01 03:27:00] Temperature: 41.6°C, Voltage: 3.61V, Current: 0.84A, Signal_Strength: -75dBm, Antenna_Angle: 354.36°, Roll: -0.62°, Pitch: 1.17°, Yaw: 83.09°, Packets_Sent: 1017, Status: OK
[2025-01-01 03:28:00] Temperature: 28.7°C, Voltage: 3.59V, Current: 1.39A, Signal_Strength: -72dBm, Antenna_Angle: 193.41°, Roll: 1.07°, Pitch: 0.74°, Yaw: 234.63°, Packets_Sent: 1170, Status: OK
[2025-01-01 03:29:00] Temperature: 17.7°C, Voltage: 3.72V, Current: 1.29A, Signal_Strength: -46dBm, Antenna_Angle: 26.65°, Roll: -0.49°, Pitch: 0.43°, Yaw: 309.81°, Packets_Sent: 1511, Status: OK
[2025-01-01 03:30:00] Temperature: 37.5°C, Voltage: 3.66V, Current: 0.53A, Signal_Strength: -51dBm, Antenna_Angle: 94.92°, Roll: -1.73°, Pitch: -0.45°, Yaw: 58.39°, Packets_Sent: 1465, Status: OK
[2025-01-01 03:31:00] Temperature: 39.0°C, Voltage: 3.53V, Current: 0.53A, Signal_Strength: -60dBm, Antenna_Angle: 180.39°, Roll: -0.38°, Pitch: 1.54°, Yaw: 348.77°, Packets_Sent: 1651, Status: OK
[2025-01-01 03:32:00] Temperature: 44.1°C, Voltage: 3.61V, Current: 1.45A, Signal_Strength: -49dBm, Antenna_Angle: 14.61°, Roll: 0.80°, Pitch: 1.72°, Yaw: 30.28°, Packets_Sent: 1378, Status: OK
[2025-01-01 03:33:00] Temperature: 26.8°C, Voltage: 3.59V, Current: 0.73A, Signal_Strength: -66dBm, Antenna_Angle: 274.70°, Roll: -0.80°, Pitch: -1.86°, Yaw: 347.50°, Packets_Sent: 1421, Status: OK
[2025-01-01 03:34:00] Temperature: 20.9°C, Voltage: 3.57V, Current: 1.25A, Signal_Strength: -53dBm, Antenna_Angle: 204.31°, Roll: -1.97°, Pitch: 0.59°, Yaw: 135.69°, Packets_Sent: 1604, Status: OK
[2025-01-01 03:35:00] Temperature: 18.9°C, Voltage: 3.52V, Current: 0.55A, Signal_Strength: -49dBm, Antenna_Angle: 42.29°, Roll: 1.87°, Pitch: -0.98°, Yaw: 282.89°, Packets_Sent: 1505, Status: OK
[2025-01-01 03:36:00] Temperature: 42.6°C, Voltage: 3.75V, Current: 1.43A, Signal_Strength: -58dBm, Antenna_Angle: 115.40°, Roll: -1.59°, Pitch: 0.06°, Yaw: 184.76°, Packets_Sent: 1209, Status: OK
[2025-01-01 03:37:00] Temperature: 16.2°C, Voltage: 3.74V, Current: 1.44A, Signal_Strength: -57dBm, Antenna_Angle: 247.40°, Roll: 0.96°, Pitch: 1.72°, Yaw: 53.11°, Packets_Sent: 1100, Status: OK
[2025-01-01 03:38:00] Temperature: 24.3°C, Voltage: 3.78V, Current: 0.49A, Signal_Strength: -57dBm, Antenna_Angle: 245.76°, Roll: -1.12°, Pitch: 0.24°, Yaw: 289.79°, Packets_Sent: 1439, Status: OK
[2025-01-01 03:39:00] Temperature: 36.6°C, Voltage: 3.83V, Current: 0.71A, Signal_Strength: -61dBm, Antenna_Angle: 344.87°, Roll: 0.67°, Pitch: -0.54°, Yaw: 84.90°, Packets_Sent: 1648, Status: OK
